x,y,z
455.04318963328416,472.4718315373682,a
474.24367750416707,517.6065037606257,a
434.3622872605556,498.8229149490753,a
436.68905558265124,492.5816538934279,a
443.0107375394457,446.18755707063053,a
435.8584979443458,473.9979506237699,a
470.9031811722973,472.83805135013233,a
437.32111691159395,431.1932814403847,a
422.33067181541895,446.2179778485326,a
390.4013402808294,428.7001805348676,a
445.6278586080759,402.0254027007834,a
386.25212055089384,401.3936142720378,a
382.79914018876406,433.0272728521758,a
411.76087262984964,333.93678150169626,a
373.1385293812806,360.41254806302913,a
409.06221950638025,396.2079697752667,a
346.81721183063837,367.94495226563816,a
421.778921914161,393.41265440251016,a
357.3060529628528,395.9568831452576,a
305.10474112230435,390.68677615214784,a
348.52298153642784,365.1773762998003,a
354.76659596958115,380.9612209608611,a
351.8168849801039,352.0689569594216,a
380.0445621680672,340.996479715275,a
326.20503296448493,384.53259077231473,a
321.2912623974008,328.1128246636775,a
334.37882651663716,325.8104480209564,a
319.2282975524681,335.76062040196547,a
320.18826343068565,362.7494533171185,a
316.12037816898805,315.80842474785675,a
349.6809644601284,338.0403468437694,a
300.0072163310054,328.5797482746522,a
280.6635551828309,307.7634809367004,a
277.2437165838704,275.5185220644739,a
290.47620254356144,336.49323976335825,a
250.25853242624112,318.23154565743533,a
292.94304686196386,294.2999223661502,a
275.6688101646472,312.58962171480823,a
326.9681219798224,300.9747352288166,a
246.6954519132055,291.4703914087421,a
250.26215210852595,288.1343185878833,a
335.1987068779374,244.92799353542293,a
282.75936576811813,277.8172387035881,a
262.13039703461845,286.54570043211106,a
200.7687244943202,246.55263073982482,a
267.59002163716593,229.19449934350638,a
272.1934235833358,225.73856264065824,a
284.62302191990074,259.2471932894939,a
243.64431800155333,258.68551383913365,a
250.9402528796499,239.35227440501887,a
238.90071424814408,242.4137916258788,a
186.2108697099327,221.24454354797797,a
213.73279218041736,235.40181488294047,a
202.9073640655305,227.4137772702727,a
154.17603549106133,238.79714274705492,a
210.66113595904528,211.65477791481715,a
176.21523006311287,217.77227541018306,a
176.01683049344942,160.6421340480427,a
165.92764809713105,209.2035633382622,a
171.14297417881517,230.1202544632436,a
123.46797894966984,193.39348940891398,a
191.78961996573673,227.94928493962215,a
184.8435977385728,202.3328205339423,a
173.7215942154861,244.23071288834123,a
217.82961852340785,192.31470127568656,a
196.30961198776015,209.40498613220836,a
272.3040597972396,232.91098355245424,a
213.96556904095516,297.0929362441799,a
228.35758640353643,251.22150502226438,a
211.7156489276845,215.10907070503987,a
219.29438090587414,264.7661238417277,a
249.86798955182027,286.1710667688725,a
251.77891834520915,238.07191286599192,a
206.32103859409307,226.1571556170938,a
279.586381630214,298.8029825927919,a
251.94884084955203,293.7546891373748,a
261.5571496722072,277.5619654845321,a
257.2747969840424,299.88926247760725,a
304.31189852794324,261.54322081544274,a
211.26948147903624,305.80945182564915,a
228.12267587055698,295.3371950936639,a
280.1675611871552,297.3373553892957,a
295.81339013245093,269.3215065135381,a
266.0393621967353,296.05711215866364,a
273.4302793463331,317.431246052001,a
244.3176250226226,305.7682329292943,a
269.6354485807749,293.30724544851853,a
294.1891843790076,314.2444125553045,a
265.37753470911514,258.2137576061547,a
236.84545659765786,313.0402733209239,a
207.1190225192931,318.9248677730096,a
271.17867191180164,317.17195538571985,a
292.1674607907501,287.029157694929,a
271.6827691574688,340.34387612320177,a
282.3671987545066,400.34181480880227,a
297.92932013834377,281.4918645611561,a
258.57309043795703,362.6050983004483,a
300.75140400165765,319.67442244335894,a
284.60855155396683,373.0303665504917,a
268.75928265018644,355.98091557502346,a
288.8606028505421,320.67856592981104,a
313.66210891188723,295.0652422649943,a
257.72306076924434,372.41115372482005,a
271.69783003401585,358.3907607245212,a
307.4163458058565,347.99477491670655,a
303.35428766066275,349.87584900432057,a
294.53425413233794,344.8584959445036,a
311.82486085882374,320.759821570545,a
322.9608462346805,340.7936219939364,a
316.4164938452553,405.84874463774645,a
340.52208381030675,346.50030781403814,a
329.7242860841648,354.6725605861643,a
300.9791407000801,350.785389095971,a
366.7210373369453,321.1068056388974,a
321.0086225322447,307.4437084170714,a
309.1190847332957,343.4633440298521,a
366.73080856518067,342.19992801250623,a
344.337500288284,376.22612944059756,a
293.9544806822275,349.26852257242524,a
397.55665307382066,378.3728698968043,a
376.66563281542403,357.89906562768454,a
346.9466801164834,416.42265232974455,a
393.9573840074675,396.4674121450052,a
338.2473433713431,398.93658399130146,a
357.9680891944586,419.0369643881352,a
367.6307408362226,371.012568327311,a
382.33817175511376,412.1720398714045,a
395.62026381703686,385.0984758737182,a
348.64387072786883,418.21357285616534,a
356.53514995435796,314.69012093103174,a
397.03707898332004,343.23940969623186,a
358.58669977909807,302.3204767848325,a
359.57415744990266,343.33493453055326,a
341.7455622145178,326.69365232161067,a
317.1072796011552,320.46414687443337,a
319.9299691454157,295.3733181052285,a
348.24034751067074,322.29602122943356,a
323.56462774427615,301.3633935740688,a
294.47025028062467,241.89867477737386,a
309.1374722206828,274.2017672298353,a
319.00907100177244,314.0641667838646,a
321.9053675584962,263.5244206543992,a
334.218179271721,285.5264182983025,a
315.89404664400155,289.32427060181885,a
335.17450195361727,285.47876896812966,a
277.2731552978635,313.5369268508384,a
323.81791815912266,269.40980300237106,a
336.557272987745,257.3986267639783,a
296.6919651293755,243.507273804112,a
280.76504396769815,222.21411156072458,a
271.38847588835955,253.6120965518564,a
289.3386234539805,227.77811595342268,a
285.09734442392784,277.3017903163567,a
320.29793062581257,277.80802709158365,a
266.7961071361086,258.26827041388293,a
254.01094980778754,218.93988080881934,a
306.25507710752026,265.63167584440663,a
251.00730973163522,259.4295888095279,a
258.9636771880233,211.69648244310412,a
270.3586593548969,236.07371205066528,a
260.26180694790105,235.1693564347732,a
203.00621465751675,235.58548603534797,a
208.48046824999955,220.02564683162927,a
214.12700589640232,209.4902969229886,a
